riqi,xq,1,2,3
2017/12/1,1286,26795,8234183.003,0.0605
2017/12/2,1286,14129,3743051.72,0.0345
2017/12/3,1286,11194,7717337.072,0.063
2017/12/4,1286,24505,10315627.53,0.0705
2017/12/5,1286,23919,8127825.974,0.058
2017/12/6,1286,22223,4501288.956,0.0429
2017/12/7,1286,26868,15399091.85,0.0811
2017/12/8,1286,25580,9219106.424,0.0601
2017/12/9,1286,10444,3733005.278,0.0389
2017/12/10,1286,23761,8836559.156,0.0606
2017/12/11,1286,23267,7027579.53,0.0574
2017/12/12,1286,26407,8211125.636,0.0581
2017/12/13,1286,13601,8252642.321,0.058
2017/12/14,1286,13344,11015866.96,0.0756
2017/12/15,1286,23643,9534932.079,0.0578
2017/12/19,1286,25479,6519666.882,0.0537
2017/12/20,1286,25976,6517030.964,0.0535
2017/12/21,1286,27752,7771086.559,0.0622
2017/12/22,1286,31858,8104617.858,0.0612
2017/12/23,1286,14925,5537410.754,0.0467
2017/12/24,1286,9781,5411604.133,0.0478
