1,2,3,4,5
2017/12/28,1286,26502,8127994.772,0.0643
2017/12/29,1286,26258,11313429.75,0.0832
2017/12/30,1286,15407,3739798.862,0.0413
2017/12/28,1510,0,0,0.0153
2017/12/29,1510,0,0,0.0154
2017/12/30,1510,0,0,0.015
2017/12/28,1119,13835,9174801.278,0.0267
2017/12/29,1119,11863,5381212.355,0.0215
2017/12/30,1119,13048,4656419.589,0.0213
2017/12/28,1945,3708,1160880.189,0.0101
2017/12/29,1945,3447,1212254.293,0.0102
2017/12/30,1945,5812,1750236.764,0.0117
2017/12/28,1708,59472,7772502.684,0.0491
2017/12/29,1708,70969,7267218.637,0.0526
2017/12/30,1708,80374,10653168,0.0695
2017/12/28,1449,13894,11670104.98,0.0634
2017/12/29,1449,13970,14693111.45,0.0722
2017/12/30,1449,15568,22257200.52,0.1081
2017/12/28,1205,4031,2234921.595,0.0238
2017/12/29,1205,4342,3750059.379,0.0314
2017/12/30,1205,5389,3910579.057,0.0331
2017/12/28,1255,19980,11540216.02,0.0633
2017/12/29,1255,22742,10013171.07,0.0463
2017/12/30,1255,25975,12650504.87,0.067
2017/12/28,1958,46518,15962534.18,0.0356
2017/12/29,1958,42308,12234996.6,0.0335
2017/12/30,1958,48093,11814863.65,0.0303
2017/12/28,1359,150893,41244912.35,0.1463
2017/12/29,1359,151614,45198179.37,0.1606
2017/12/30,1359,157972,45190022.26,0.1766
2017/12/28,1221,32390,93122237.6,0.2087
2017/12/29,1221,21768,65110370.11,0.1333
2017/12/30,1221,11318,54906950.84,0.1129
2017/12/28,1100,71708,35787058.82,0.1471
2017/12/29,1100,66330,38912574.74,0.1635
2017/12/30,1100,73926,33912748.51,0.1387
2017/12/28,1655,221,22785.316,0.0069
2017/12/29,1655,255,253527.211,0.008
2017/12/30,1655,180,67134.455,0.007
2017/12/28,1956,5925,2856656.618,0.014
2017/12/29,1956,4362,2227111.186,0.0128
2017/12/30,1956,4540,2972020.975,0.0131
2017/12/28,1960,31727,20437501.83,0.0878
2017/12/29,1960,31422,17082941.62,0.0738
2017/12/30,1960,33334,18755207.64,0.0771
2017/12/28,1000,35557,24344350.01,0.0807
2017/12/29,1000,36762,22450760.04,0.0783
2017/12/30,1000,35671,21268945.73,0.0785
2017/12/28,1547,6952,7113452.281,0.0254
2017/12/29,1547,5997,4021790.957,0.0192
2017/12/30,1547,5145,6075195.642,0.026
2017/12/28,1899,2948,586085.921,0.0107
2017/12/29,1899,2414,558344.69,0.0097
2017/12/30,1899,958,164877.54,0.0083
2017/12/28,1132,50627,38623096.23,0.2478
2017/12/29,1132,43711,31267224.97,0.1628
2017/12/30,1132,50966,25915876.62,0.1443
2017/12/28,1804,32199,30370990,0.1003
2017/12/29,1804,31685,32168721.32,0.1088
2017/12/30,1804,21786,25500999.6,0.0841
2017/12/28,1672,12790,8886933.792,0.1158
2017/12/29,1672,14199,10064782.44,0.1205
2017/12/30,1672,13874,6775556.806,0.0938
2017/12/28,1929,7606,2674309.997,0.0199
2017/12/29,1929,7598,3750795.018,0.0208
2017/12/30,1929,6585,3417753.247,0.0217
2017/12/28,1536,14152,4365346.464,0.0444
2017/12/29,1536,14015,8008940.991,0.0623
2017/12/30,1536,15076,8285368.555,0.0576
2017/12/28,1123,5407,5184100.636,0.0218
2017/12/29,1123,7039,3701386.419,0.0174
2017/12/30,1123,6771,3040197.784,0.0162
2017/12/28,1811,4710,1616784.804,0.0149
2017/12/29,1811,3941,1132787.283,0.0139
2017/12/30,1811,6243,1116593.127,0.0127
2017/12/28,1730,7247,2244086.851,0.017
2017/12/29,1730,6086,3249743.563,0.0199
2017/12/30,1730,6996,3861290.728,0.0194
2017/12/28,1020,33817,15325259.99,0.0651
2017/12/29,1020,32268,12229653.65,0.0488
2017/12/30,1020,32224,18486490.93,0.0595
2017/12/28,1903,14838,4199541.331,0.056
2017/12/29,1903,14430,4467324.794,0.0547
2017/12/30,1903,14227,5023226.163,0.0716
2017/12/28,1837,54623,66580445.71,0.1889
2017/12/29,1837,37030,42536530.18,0.1279
2017/12/30,1837,16328,18984934.52,0.0611
2017/12/28,1003,28176,13619208.06,0.0435
2017/12/29,1003,27935,20131882.8,0.0786
2017/12/30,1003,21462,9105289.834,0.0333
2017/12/28,1756,3644,957989.537,0.0214
2017/12/29,1756,2400,1388358.834,0.0227
2017/12/30,1756,3058,2864900.944,0.0324
2017/12/28,1461,42923,9967427.766,0.0337
2017/12/29,1461,37211,6580518.172,0.027
2017/12/30,1461,4763,2094453.279,0.0128
2017/12/28,1575,0,0,/0
2017/12/29,1575,0,0,/0
2017/12/30,1575,0,0,/0
2017/12/28,1834,30885,21248872.41,0.0813
2017/12/29,1834,30588,17712395.07,0.0652
2017/12/30,1834,41862,21959157.91,0.0832
2017/12/28,1423,27743,10291061.51,0.0433
2017/12/29,1423,27129,7869846.309,0.0401
2017/12/30,1423,28288,9839232.272,0.0477
2017/12/28,1716,76354,23916115.51,0.0772
2017/12/29,1716,59312,22234537.22,0.0719
2017/12/30,1716,55688,28546482.6,0.0895
2017/12/28,1342,8680,2503772.025,0.0149
2017/12/29,1342,8276,3648342.228,0.0237
2017/12/30,1342,9952,6278509.889,0.0291
2017/12/28,1266,45402,18145109.53,0.0649
2017/12/29,1266,46720,17984777.93,0.0632
2017/12/30,1266,39410,10595790.16,0.0415
2017/12/28,1807,1027,2441811.497,0.0276
2017/12/29,1807,1110,1584261.337,0.0198
2017/12/30,1807,545,144152.37,0.0097
2017/12/28,1846,12116,3432877.769,0.0188
2017/12/29,1846,12853,5493104.289,0.0238
2017/12/30,1846,11143,9378329.26,0.0312
2017/12/28,1162,1227,631676.097,0.0096
2017/12/29,1162,686,275953.159,0.0089
2017/12/30,1162,727,345049.148,0.0088
2017/12/28,1520,4513,1418284.812,0.0134
2017/12/29,1520,8117,10490932.99,0.0284
2017/12/30,1520,11903,7446740.498,0.0215
2017/12/28,1517,2098,121599.084,0.0157
2017/12/29,1517,1735,361774.182,0.0171
2017/12/30,1517,2329,539479.305,0.0192
2017/12/28,1979,51961,18899101.21,0.0657
2017/12/29,1979,42345,13434418.26,0.0463
2017/12/30,1979,44488,23686800.1,0.0696
2017/12/28,1876,40040,28680907.97,0.1057
2017/12/29,1876,35946,19252200.88,0.0799
2017/12/30,1876,28085,13582301.77,0.054
2017/12/28,1554,95773,44198865.54,0.1166
2017/12/29,1554,89948,48250203.87,0.118
2017/12/30,1554,94919,46148799.4,0.1147
2017/12/28,1932,47285,14351426.15,0.0443
2017/12/29,1932,43273,13726056.12,0.0379
2017/12/30,1932,39512,16770477.65,0.044
2017/12/28,1420,18582,14539638.42,0.0374
2017/12/29,1420,30138,14023938.23,0.0386
2017/12/30,1420,41464,25300374.72,0.0553
2017/12/28,1988,149897,133213873.8,0.3137
2017/12/29,1988,155830,140447696.4,0.3261
2017/12/30,1988,101127,80972923.01,0.2022
2017/12/28,1247,0,0,/0
2017/12/29,1247,0,0,/0
2017/12/30,1247,0,0,/0
2017/12/28,1309,51636,22960870.32,0.1068
2017/12/29,1309,57188,26356446.06,0.1312
2017/12/30,1309,57866,28475784.25,0.1329
2017/12/28,1969,18880,13863109.72,0.0449
2017/12/29,1969,18102,15363788.29,0.0478
2017/12/30,1969,18934,19126960.66,0.0465
2017/12/28,1630,1575,86937.763,0.0067
2017/12/29,1630,1187,106594.581,0.007
2017/12/30,1630,1092,56225.171,0.0064
2017/12/28,1760,88276,30104295.66,0.0875
2017/12/29,1760,87984,29363563.94,0.079
2017/12/30,1760,99065,37650243.46,0.1022
2017/12/28,1233,137718,60961796.94,0.1259
2017/12/29,1233,147144,69142340.29,0.1421
2017/12/30,1233,141926,66752889.78,0.1436
2017/12/28,1728,900,1015794.967,0.0103
2017/12/29,1728,1166,1449624.636,0.0119
2017/12/30,1728,2302,1311405.077,0.011
2017/12/28,1593,2454,1231668.345,0.0111
2017/12/29,1593,3011,1669661.51,0.0123
2017/12/30,1593,2656,8205528.596,0.0228
2017/12/28,1934,3213,2753187.445,0.0144
2017/12/29,1934,2584,1330255.005,0.0121
2017/12/30,1934,33,1060.809,0.0074
2017/12/28,1645,37780,20225572.23,0.0575
2017/12/29,1645,33724,22494534.72,0.0588
2017/12/30,1645,3182,890872.052,0.0113
2017/12/28,1005,0,0,/0
2017/12/29,1005,0,0,/0
2017/12/30,1005,0,0,/0
2017/12/28,1373,8610,1648459.809,0.0194
2017/12/29,1373,9048,2090344.111,0.0172
2017/12/30,1373,8954,1422449.26,0.0155
2017/12/28,1794,1619,958138.514,0.0107
2017/12/29,1794,1911,1019450.559,0.0116
2017/12/30,1794,1089,831496.48,0.0128
2017/12/28,1757,10244,4430649.652,0.0236
2017/12/29,1757,9809,6049349.247,0.0297
2017/12/30,1757,10727,7439189.638,0.0335
2017/12/28,1052,7599,8835569.349,0.0373
2017/12/29,1052,6355,5159063.065,0.024
2017/12/30,1052,5843,5410123.336,0.0285
2017/12/28,1718,16733,33701119.54,0.0714
2017/12/29,1718,15192,26246779.45,0.0536
2017/12/30,1718,14830,22364614.71,0.0535
2017/12/28,1812,54445,48471473.94,0.1632
2017/12/29,1812,44160,51255949.52,0.1754
2017/12/30,1812,39958,54127294.76,0.1986
2017/12/28,1599,41061,20584822.48,0.0587
2017/12/29,1599,36857,16305314.58,0.0499
2017/12/30,1599,36963,19399568.43,0.0516
