['947.97943'],['28724308.0'],['0.047426455']
['18817.666'],['5808628.0'],['0.018608544']
['1642.2852'],['5285994.5'],['0.018231882']
['1160.018'],['4170019.8'],['0.017095868']
['1637.865'],['3604778.8'],['0.017095868']
['1160.6508'],['3304598.5'],['0.01695323']
['1471.7362'],['2818184.5'],['0.015471049']
['1475.5275'],['3613275.2'],['0.01595082']
['1620.1838'],['3535354.8'],['0.017522931']
['1184.6915'],['2880965.2'],['0.015663145']
['1295.3761'],['2980195.2'],['0.015615145']
['1215.0557'],['3199979.2'],['0.015278702']
['1445.1956'],['4584399.5'],['0.01837325']
['1239.7238'],['3244321.5'],['0.017475542']
['1123.3195'],['4588505.0'],['0.01837325']
['1380.0955'],['2144875.2'],['0.014313192']
['1165.0793'],['3163009.8'],['0.015663145']
['1022.05475'],['3103988.0'],['0.01595082']
['923.9162'],['2440324.0'],['0.014844999']
['910.6171'],['2833423.5'],['0.015037912']
['1075.2239'],['2257235.5'],['0.0149414865']
['1500.1694'],['2052415.2'],['0.014216296']
['1335.8427'],['3253953.0'],['0.017522931']
['1942.6571'],['3253953.0'],['1825010.1']
