['42186.61'],['15673932.0'],['0.04572147']
['18185.52'],['34029212.0'],['0.06998305']
['42387.527'],['35195076.0'],['0.07084494']
['43195.426'],['29998906.0'],['0.071257226']
['39085.484'],['20592794.0'],['0.05896073']
['19170.064'],['19522956.0'],['0.054835875']
['18828.883'],['30247386.0'],['0.07152675']
['43888.434'],['33509720.0'],['0.0704821']
['44035.52'],['34810676.0'],['0.06993668']
['41474.21'],['29769320.0'],['0.07101531']
['36791.324'],['31453982.0'],['0.07161286']
['38394.76'],['25952286.0'],['0.06693508']
['19118.238'],['25445644.0'],['0.0638236']
['18811.416'],['28636278.0'],['0.07044393']
['36119.492'],['29211430.0'],['0.07100379']
['39195.03'],['28728420.0'],['0.06978843']
['37124.37'],['26362508.0'],['0.06748901']
['33914.797'],['26362508.0'],['27242826.0']
