['-0.0'],['364315.5'],['0.01970415']
['177.33394'],['47438.645'],['0.016798878']
['62.688236'],['63364.92'],['0.017770598']
['59.712418'],['81994.38'],['0.017147977']
['50.61932'],['63788.13'],['0.017147977']
['102.79178'],['97018.18'],['0.017911537']
['232.37436'],['122627.23'],['0.017770598']
['81.36508'],['54627.355'],['0.017147977']
['100.2063'],['49660.617'],['0.017392876']
['59.712418'],['50826.332'],['0.017911537']
['59.712418'],['173604.19'],['0.018699499']
['77.15688'],['67313.74'],['0.017312808']
['16.809599'],['62094.51'],['0.017312808']
['30.056639'],['59065.492'],['0.017312808']
['49.07954'],['59605.746'],['0.017392876']
['135.15805'],['78519.37'],['0.017623942']
['16.809599'],['81774.01'],['0.017623942']
['77.15688'],['44650.754'],['0.01670742']
['4.84297'],['41663.7'],['0.0202445']
['8.297977'],['41942.066'],['0.017979918']
['8.297977'],['38096.277'],['0.016976725']
['10.014668'],['55498.64'],['0.016976725']
['23.490044'],['39533.574'],['0.017770598']
['6.5740824'],['39533.574'],['47815.688']
