['-0.0'],['14166987.0'],['0.035406087']
['14378.265'],['9599537.0'],['0.027585415']
['9863.569'],['11468788.0'],['0.031142047']
['17873.645'],['11711000.0'],['0.031656124']
['16842.52'],['10887048.0'],['0.031142047']
['16800.824'],['11967753.0'],['0.03180111']
['15694.165'],['8989480.0'],['0.02733246']
['10646.69'],['12938424.0'],['0.032159917']
['16465.602'],['9555180.0'],['0.029300109']
['16567.701'],['9955974.0'],['0.028658371']
['15355.668'],['8383235.5'],['0.025860675']
['10716.811'],['10380604.0'],['0.02873936']
['11232.234'],['12440462.0'],['0.03201702']
['16561.016'],['12368070.0'],['0.031873293']
['15001.083'],['10363060.0'],['0.028820125']
['12749.95'],['10394136.0'],['0.029220657']
['12537.035'],['10187896.0'],['0.028820125']
['10875.103'],['11228422.0'],['0.029300109']
['7603.5576'],['7615867.0'],['0.023857636']
['6135.8096'],['8707707.0'],['0.027077485']
['11935.907'],['8858938.0'],['0.026734361']
['11388.252'],['9408525.0'],['0.027417004']
['11474.5'],['9551924.0'],['0.027417004']
['11091.745'],['9551924.0'],['-0.0']
