['881.5276'],['587217.7'],['0.013096392']
['1198.3462'],['544718.4'],['0.013046873']
['933.1509'],['543254.6'],['0.013030385']
['963.41724'],['536332.5'],['0.013006599']
['849.839'],['544098.2'],['0.013042963']
['1080.0286'],['570464.9'],['0.013092099']
['1452.5054'],['541925.1'],['0.013042963']
['954.71106'],['561986.56'],['0.013073001']
['940.34564'],['589211.7'],['0.013089883']
['1040.224'],['581829.7'],['0.013092642']
['1126.0513'],['561411.56'],['0.013050639']
['1055.3706'],['549397.1'],['0.013046873']
['854.0035'],['541918.7'],['0.013034719']
['852.9626'],['543137.8'],['0.013030385']
['875.30566'],['539272.25'],['0.013034719']
['790.7442'],['560969.5'],['0.013061084']
['1019.4628'],['603030.9'],['0.013089883']
['1002.19324'],['551414.44'],['0.013061084']
['996.08655'],['591522.6'],['0.013091336']
['1022.5055'],['549520.44'],['0.013070238']
['1098.0802'],['562591.0'],['0.013080423']
['942.3997'],['636229.7'],['0.013079195']
['1082.539'],['573349.94'],['0.013096959']
['927.4923'],['573349.94'],['543720.8']
