['4314.0464'],['7065015.0'],['0.023709908']
['6029.3643'],['7065015.0'],['0.027777473']
['16212.537'],['7065015.0'],['0.028426109']
['20168.158'],['7065015.0'],['0.030076953']
['21197.408'],['7065015.0'],['0.029292258']
['19565.506'],['7065015.0'],['0.027674286']
['21858.418'],['7065015.0'],['0.027183786']
['17131.908'],['7065015.0'],['0.02084765']
['12825.842'],['7065015.0'],['0.023273803']
['9777.725'],['7065015.0'],['0.019302346']
['8225.181'],['7065015.0'],['0.012594826']
['5398.7275'],['7065015.0'],['0.010027689']
['4225.5356'],['7065015.0'],['0.019645153']
['6857.4595'],['7065015.0'],['0.016188908']
['7101.569'],['7065015.0'],['0.014237467']
['5973.8623'],['7065015.0'],['0.017107759']
['6207.893'],['7065015.0'],['0.022448204']
['7924.3955'],['7065015.0'],['0.014237467']
['4650.2266'],['7065015.0'],['0.0098600825']
['3950.8743'],['7065015.0'],['0.014525685']
['4574.725'],['7065015.0'],['0.016718537']
['7138.9663'],['7065015.0'],['0.016054584']
['6801.623'],['7065015.0'],['0.011973046']
['7377.0015'],['7065015.0'],['0.011973046']
